subset,model,runtime,val_runtime,total_runtime,accuracy_mean,accuracy_median,accuracy_lower,accuracy_upper,accuracy_lower_whisker,accuracy_upper_whisker,precision_mean,precision_median,precision_lower,precision_upper,precision_lower_whisker,precision_upper_whisker,sensitivity_mean,sensitivity_median,sensitivity_lower,sensitivity_upper,sensitivity_lower_whisker,sensitivity_upper_whisker,specificity_mean,specificity_median,specificity_lower,specificity_upper,specificity_lower_whisker,specificity_upper_whisker,f1_score_mean,f1_score_median,f1_score_lower,f1_score_upper,f1_score_lower_whisker,f1_score_upper_whisker,auc_mean,auc_median,auc_lower,auc_upper,auc_lower_whisker,auc_upper_whisker,npv_mean,npv_median,npv_lower,npv_upper,npv_lower_whisker,npv_upper_whisker,mcc_mean,mcc_median,mcc_lower,mcc_upper,mcc_lower_whisker,mcc_upper_whisker,val_sensitivity_mean,val_sensitivity_median,val_sensitivity_lower,val_sensitivity_upper,val_sensitivity_lower_whisker,val_sensitivity_upper_whisker,val_accuracy_mean,val_accuracy_median,val_accuracy_lower,val_accuracy_upper,val_accuracy_lower_whisker,val_accuracy_upper_whisker,val_precision_mean,val_precision_median,val_precision_lower,val_precision_upper,val_precision_lower_whisker,val_precision_upper_whisker,val_specificity_mean,val_specificity_median,val_specificity_lower,val_specificity_upper,val_specificity_lower_whisker,val_specificity_upper_whisker,val_f1_score_mean,val_f1_score_median,val_f1_score_lower,val_f1_score_upper,val_f1_score_lower_whisker,val_f1_score_upper_whisker,val_auc_mean,val_auc_median,val_auc_lower,val_auc_upper,val_auc_lower_whisker,val_auc_upper_whisker,val_npv_mean,val_npv_median,val_npv_lower,val_npv_upper,val_npv_lower_whisker,val_npv_upper_whisker,val_mcc_mean,val_mcc_median,val_mcc_lower,val_mcc_upper,val_mcc_lower_whisker,val_mcc_upper_whisker
5,MobileNetV2,51.13855624675751,3.48769766330719,54.6262539100647,86.05200839042664,86.37057840824127,83.71010720729828,87.702976167202,77.7208037674427,93.69227960705757,85.81802654266357,86.2574577331543,83.64061415195465,87.66452968120575,77.604740858078,93.7004029750824,85.79747211933136,86.20142042636871,83.69449228048325,87.69734799861908,77.6902087032795,93.70163157582283,85.79728400707245,86.29264235496521,83.07643681764603,87.65778839588165,76.20440945029259,94.52981576323509,85.77580088376999,86.2755298614502,83.12095701694489,87.614406645298,76.3807825744152,94.35458108782768,93.56514018774033,94.17031109333038,91.8842762708664,95.30232250690459,86.75720691680911,100.42939186096189,85.80517339706421,86.2683653831482,83.16566050052643,87.6043900847435,76.50756612420082,94.2624844610691,71.59471875429153,72.59363830089569,66.22980833053589,75.252266228199,52.696121484041214,88.78595307469368,65.25764176249504,65.23074805736542,50.0,83.91033411026001,-0.8655011653900146,134.77583527565002,68.94379317760468,69.42401826381683,61.5611270070076,78.81433963775635,35.681308060884476,104.69415858387947,68.45530867576599,67.37451553344727,56.78132921457291,81.83815777301788,19.19608637690544,119.42340061068535,66.38020674418658,67.2656238079071,51.11362338066101,84.78618413209915,0.6047822535037994,135.29502525925636,63.871954947710044,67.01303720474243,51.39277130365372,75.02943128347397,15.93778133392334,110.48442125320435,76.5310527086258,77.09264755249023,68.19790005683899,85.82512736320496,41.75705909729004,112.2659683227539,68.24857112765312,67.40705370903015,56.30856454372406,81.40300065279007,18.666910380125046,119.04465481638908,33.94793378992472,33.34563672542571,19.621921703219407,48.401932418346405,-23.54809436947109,91.5719484910369
10,MobileNetV2,63.88084672451019,3.5059545493125914,67.38680127382278,89.9131189584732,89.84335362911224,88.13007920980453,92.12085902690887,82.14390948414803,98.10702875256538,89.6743032336235,89.6339476108551,87.85999417304993,92.22544580698016,81.31181672215459,98.77362325787549,89.67015582323074,89.71548676490784,87.93548792600632,92.03749895095824,81.78247138857841,98.19051548838615,89.65582323074341,89.51388597488403,87.85249441862106,92.23663806915285,81.27627894282341,98.81285354495049,89.65164691209793,89.45974707603455,87.91661411523819,92.1563446521759,81.55701830983162,98.51594045758247,96.20017129182816,96.56806588172913,95.39634883403778,98.03135395050047,91.44384115934372,101.98386162519456,89.67152309417725,89.49984610080719,87.88866400718689,92.07153767347334,81.61435350775722,98.34584817290305,79.32820838689804,78.92148196697235,75.85788071155548,84.34079885482788,63.13350349664688,97.06517606973648,74.34409596025944,80.39726316928864,60.18043607473373,89.23611342906952,16.596920043230057,132.8196294605732,76.84913635253906,82.49336183071136,71.85329794883728,86.18420958518982,50.35693049430847,107.68057703971864,75.70066466927528,78.35650742053986,66.38864427804947,87.22972571849823,35.12702211737633,118.49134787917136,74.15326285362244,78.88568937778473,60.26731133460999,88.60932439565659,17.754291743040085,131.1223439872265,73.5594339966774,76.2053519487381,65.80108553171158,84.86844301223755,37.20004931092262,113.4694792330265,84.82443669438362,89.3195241689682,80.46309649944305,92.87234544754028,61.84922307729721,111.48621886968613,76.24488744139671,79.7559916973114,66.49076640605927,88.70109021663666,33.175280690193176,122.01657593250276,50.06196828943212,52.88483202457428,39.03126120567321,68.82792860269547,-5.66373988986017,113.52292969822884
15,MobileNetV2,75.8617924284935,3.404082293510437,79.26587472200394,93.500767827034,93.70431303977966,90.58820456266405,96.79905027151108,81.27193599939346,106.11531883478165,93.3466824889183,93.70661675930025,90.35162925720216,96.7759445309639,80.71515634655952,106.41241744160652,93.33593738079072,93.7982589006424,90.49627780914304,96.60668373107907,81.330668926239,105.77229261398315,93.33418148756029,93.69423985481262,90.3794452548027,96.8014508485794,80.74643686413768,106.43445923924445,93.32818472385406,93.7840849161148,90.35844802856444,96.73451483249664,80.79434782266617,106.29861503839491,98.00556808710098,98.59979152679443,96.94667607545853,99.5979204773903,92.96980947256084,103.57478708028796,93.33968299627304,93.8098520040512,90.49832820892333,96.6277241706848,81.3042342662811,105.82181811332704,86.67373937368393,87.56667673587799,80.73591589927673,93.48249733448029,61.616043746471405,112.6023694872856,83.57881692051888,86.40350699424744,79.81085479259491,90.64670205116272,63.5570839047432,106.90047293901443,84.28159415721893,86.55941486358643,80.7771384716034,90.22980779409409,66.59813448786738,104.4088117778301,83.78708946704865,85.86905300617218,80.85550665855408,89.94376957416534,67.22311228513718,103.57616394758224,83.52951031923294,85.9375,80.84788471460342,89.87821638584137,67.3023872077465,103.42371389269827,83.43136239051819,86.05049252510071,79.76064383983612,89.99291807413101,64.41223248839378,105.34132942557336,91.2633808851242,92.86157190799712,89.13012593984604,95.66234350204468,79.33179959654808,105.46066984534264,84.01123714447021,86.51976585388184,80.27063608169556,90.5319109559059,64.87872377038005,105.92382326722142,67.45319491624832,72.02484905719757,59.53589528799057,79.98468577861786,28.86270955204964,110.6578715145588
20,MobileNetV2,75.1939347410202,3.324855732917785,78.51879047393798,94.92056781053545,95.3167349100113,92.32483506202698,98.70800524950027,82.750079780817,108.28276053071023,94.75020790100098,95.27774155139925,92.00769811868668,98.68323355913162,81.99439495801926,108.69653671979904,94.78749430179596,95.38063108921052,92.2871634364128,98.68798404932024,82.68593251705167,108.28921496868136,94.73172634840012,95.26943862438202,91.84762686491013,98.69362264871596,81.57863318920135,108.96261632442474,94.74879640340804,95.3405499458313,92.0804098248482,98.6872047185898,82.17021748423578,108.5973970592022,98.50513106584548,99.13611710071564,97.71076142787932,99.894417822361,94.43527683615682,103.16990241408352,94.77763736248016,95.40720582008362,92.26835370063785,98.66851270198822,82.66811519861224,108.2687512040138,89.51113718748093,90.68151116371156,84.13099646568298,97.3819673061371,64.2545402050018,117.25842356681828,86.19521576166153,89.76151049137115,83.35503488779068,92.04963445663452,70.31313553452492,105.09153380990028,86.71504539251328,89.69754874706268,83.18599164485931,92.20805913209917,69.65289041399956,105.74116036295892,86.69516015052795,89.72123861312866,83.90153497457504,92.27445572614673,71.34215384721753,104.8338368535042,86.64463806152344,89.71313834190369,84.0391993522644,92.36111044883728,71.55633270740509,104.8439770936966,86.35018050670624,89.74595665931702,83.06166678667068,91.94170981645584,69.74160224199298,105.26177436113356,93.00114315748216,95.31559944152832,91.21870994567873,96.80827707052232,82.83435925841329,105.19262775778772,86.40139448642731,89.40552175045013,82.86246806383133,91.92743152379992,69.26502287387845,105.52487671375278,72.97283464670181,79.1444331407547,66.34321063756943,83.95410031080246,39.92687612771988,110.370434820652
25,MobileNetV2,76.59828536272049,3.267290575504303,79.8655759382248,95.98071491718292,97.48133718967438,93.32908391952516,99.651138484478,83.84600207209587,109.13422033190729,95.80442810058594,97.39758670330048,93.11206489801408,99.61948692798616,83.35093185305595,109.38061997294426,95.83613681793211,97.41811454296112,93.20599138736723,99.61937218904494,83.58592018485072,109.23944339156148,95.77690947055817,97.37588465213776,93.07513386011124,99.6211975812912,83.2560382783413,109.44029316306114,95.7962014079094,97.38694429397584,93.08605939149857,99.6214210987091,83.28301683068275,109.42446365952492,98.76694601774216,99.6951460838318,98.06554466485976,99.99329596757887,95.1739177107811,102.88492292165756,95.81665408611298,97.39726185798644,93.1501716375351,99.62161779403688,83.44300240278244,109.32878702878952,91.59945911169052,94.77600157260896,86.19287610054016,99.24346208572386,66.61699712276462,118.81934106349942,89.66509890556335,92.45876669883728,87.02256828546524,94.04810965061188,76.48425623774529,104.58642169833185,89.47975128889084,92.31314063072205,86.74045354127884,94.11892294883728,75.67274942994118,105.18662706017494,89.21655869483948,91.55464768409728,86.33089363574982,94.08296942710876,74.7027799487114,105.7110831141472,88.77173130959272,91.68198704719543,86.4925965666771,94.11321133375168,75.06167441606522,105.54413348436356,89.3354287147522,92.04343557357788,86.42940372228622,93.9552128314972,75.14069005846977,105.24392649531364,94.71249413490295,96.88133001327516,94.03013885021208,97.45838791131972,88.88776525855062,102.6007615029812,89.73269665241241,92.54252314567566,86.81046664714813,94.15521472692488,75.79334452748301,105.17233684659,78.62329906225204,83.76056253910065,72.69779294729233,87.9629984498024,49.79998469352722,110.8608067035675
30,MobileNetV2,80.10541892290115,3.1980475306510927,83.30346645355225,97.19472396373747,98.77154529094696,95.53837627172469,99.89398717880248,89.00495991110799,106.4274035394192,97.05502021312714,98.7297385931015,95.39901614189148,99.88007992506029,88.67742046713826,106.60167559981348,97.08473879098892,98.7505465745926,95.38858234882356,99.85939264297484,88.68236690759659,106.5656080842018,97.04131525754929,98.7395852804184,95.3933387994766,99.875408411026,88.67023438215254,106.59851282835008,97.05929887294768,98.75031113624571,95.38665562868118,99.87873435020444,88.64853754639628,106.61685243248937,99.20786321163176,99.9117076396942,99.03928935527802,99.9991148710251,97.59955108165738,101.43885314464572,97.07788443565369,98.7622767686844,95.41143625974657,99.86099302768709,88.73710110783574,106.53532817959788,94.12389254570007,97.50252962112428,90.78225493431091,99.75826740264893,77.31823623180392,113.22228610515592,90.38600248098372,94.00127828121184,89.12417739629745,95.3536182641983,79.78001609444618,104.69777956604958,90.5888369679451,93.82995069026948,90.0400921702385,95.25082260370256,82.22399652004239,103.06691825389863,90.57505416870116,93.9800500869751,90.00472873449327,95.2449306845665,82.14442580938342,103.10523360967632,90.5588173866272,94.07894611358644,89.6248534321785,95.25082260370256,81.1858996748924,103.68977636098865,90.45482850074768,93.73587369918825,89.84698802232742,95.1841041445732,81.84131383895874,103.1897783279419,95.00153464078905,97.2869634628296,95.64621299505234,98.13873320817946,91.90743267536166,101.87751352787016,90.45851939916612,93.89545619487762,89.68366831541061,95.2360302209854,81.35512545704842,103.5645730793476,80.99432854354382,87.54238784313202,79.49669510126114,90.38321226835252,63.16691935062408,106.71298801898956
35,MobileNetV2,84.30022085428237,3.099042766094208,87.39926362037659,97.37832337617874,99.5209962129593,94.86257582902908,99.94260519742966,87.2425317764282,107.56264925003056,97.21758937835692,99.47047531604768,94.7192057967186,99.93663430213928,86.8930630385876,107.76277706027028,97.19872933626176,99.51949119567873,94.94609385728836,99.94221180677415,87.45191693305965,107.43638873100284,97.19895219802856,99.47349727153778,94.68986839056016,99.93600547313692,86.820662766695,107.80521109700206,97.18759572505952,99.49893355369568,94.85610127449036,99.93526488542558,87.23735585808755,107.55401030182838,99.2170023918152,99.96992349624634,98.89983981847764,99.99983459711076,97.24984765052793,101.64982676506044,97.19403672218324,99.52468574047089,94.95532661676404,99.94290471076964,87.47395947575566,107.42427185177806,94.38913547992706,98.99883270263672,89.70732390880585,99.86978769302368,74.4636282324791,115.11348336935043,91.5349097251892,94.89889740943909,89.48940485715866,96.39642834663393,79.12886962294579,106.7569635808468,91.44668596982956,94.7610318660736,89.1036182641983,96.51245921850206,77.99035683274266,107.62572064995769,91.20211261510848,94.69369947910307,88.67986053228378,96.36556953191756,77.1512970328331,107.89413303136826,91.08182030916214,94.68698799610138,88.84239792823792,96.3620498776436,77.56292000412941,107.64152780175208,91.34969794750214,94.67158615589142,88.85828852653503,96.4636355638504,77.45026797056198,107.87165611982346,95.6855689883232,97.70372211933136,95.42876780033112,98.44301789999008,90.90739265084268,102.96439304947852,91.48934084177016,94.85410749912262,89.31706845760345,96.36725187301636,78.7417933344841,106.94252699613573,82.66399377584457,89.33951556682587,77.24097073078156,92.91308522224423,53.73279899358752,116.4212569594383
40,MobileNetV2,75.37393873214722,3.0323643398284914,78.40630307197571,97.24928659200668,98.78723621368408,93.07710379362106,99.96324628591536,82.7478900551796,110.29246002435684,97.06708133220673,98.8682895898819,92.55477488040924,99.97844099998474,81.41927570104599,111.113940179348,97.02453631162643,98.77077043056488,92.43306517601012,99.95774179697035,81.14605024456978,111.24475672841072,97.05950474739076,98.87485802173616,92.5532117486,99.97859597206116,81.41513541340828,111.11667230725288,97.0354910492897,98.81560802459715,92.47064292430878,99.96830821037294,81.22414499521253,111.21480613946918,99.22590982913972,99.91579353809357,97.78764247894289,99.99995827674866,94.46916878223422,103.31843197345732,97.02607315778732,98.7882137298584,92.40509271621704,99.95831698179244,81.0752563178539,111.2881533801556,94.08399260044098,97.6368635892868,84.92487967014313,99.9370276927948,62.40665763616564,122.45524972677228,88.24873292446136,92.95275807380676,83.00781100988388,96.53234779834747,62.72100582718849,116.81915298104286,88.84378558397293,92.2697365283966,84.16141271591187,96.44097089767456,65.74207544326782,114.8603081703186,88.81583988666534,92.47040152549744,85.70954203605652,96.33798003196716,69.76688504219055,112.28063702583312,88.71779352426529,92.76475608348846,85.91580092906952,96.33119106292725,70.29271572828296,111.9542762637138,88.36341643333435,92.00838506221773,83.34921598434448,96.39789015054704,63.776204735040665,115.97090139985085,93.82837408781052,96.52862548828124,91.52471125125886,98.3414351940155,81.2996253371239,108.56652110815044,88.61549270153046,92.8590089082718,83.38809907436371,96.52522206306458,63.68241459131241,116.23090654611588,77.20642229914665,84.11589860916138,65.61732590198517,92.79609620571136,24.84917044639589,133.56425166130063
45,MobileNetV2,90.30606877326966,2.877846274375916,93.18391504764556,98.44640517234802,99.8953342437744,98.11724722385406,100.0,95.29311805963516,102.8241291642189,98.34158945083618,99.87118542194366,98.14480245113371,100.0,95.36200612783432,102.7827963232994,98.33860731124878,99.88179206848145,98.23663681745528,99.9790832400322,95.62296718358994,102.59275287389757,98.34085243940352,99.85118508338928,98.13308417797089,100.0,95.33271044492722,102.80037373304368,98.33829325437546,99.86196756362916,98.18778187036514,99.98939633369446,95.48536017537116,102.69181802868844,99.6133325099945,99.99927878379822,99.7968092560768,99.99999403953552,99.49203208088876,100.3047712147236,98.34222304821014,99.86540377140048,98.23911339044572,99.9794900417328,95.62854841351506,102.59005501866343,96.68282878398897,99.72423613071442,96.37678861618043,99.97904896736144,90.97339808940892,105.38243949413295,91.39005076885223,96.3985115289688,88.8123631477356,97.37527221441267,75.96799954771996,110.21963581442832,92.0644297003746,96.43962979316711,89.75788503885269,97.45865166187286,78.20673510432243,109.00980159640312,92.29122793674468,96.43817245960236,89.90478068590164,97.36841917037964,78.70932295918465,108.56387689709663,92.3222228884697,96.43962979316711,90.69809913635255,97.36841917037964,80.69261908531192,107.37389922142026,91.71173298358916,96.39617800712584,89.86100852489471,97.3674401640892,78.60136106610298,108.62708762288094,95.85807025432588,98.31802546977995,95.29412984848022,98.86661767959596,89.93539810180664,104.22534942626952,91.70651966333388,96.40167355537416,88.91167044639587,97.37811982631683,76.2119963765144,110.0777938961983,83.8530583679676,92.78653860092165,79.77113723754883,94.73714977502824,57.32211843132973,117.18616858124732
